,concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,org:group,case:concept:name,case:variant,case:variant-index,case:creator
590,Accepted-In Progress,complete,Carolyn-Org line G3,2010-05-25 11:27:54+00:00,Accepted-In Progress,Carolyn,Org line G3,1-375646314,Variant 2,2,Fluxicon Disco
591,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-05-25 11:32:07+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-375646314,Variant 2,2,Fluxicon Disco
592,Accepted-In Progress,complete,Kannan-Org line G3,2010-05-25 11:55:40+00:00,Accepted-In Progress,Kannan,Org line G3,1-375646314,Variant 2,2,Fluxicon Disco
593,Accepted-Assigned,complete,Carolyn-Org line G3,2010-05-25 11:55:45+00:00,Accepted-Assigned,Carolyn,Org line G3,1-375646314,Variant 2,2,Fluxicon Disco
594,Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 07:44:05+00:00,Accepted-In Progress,Ewa,Org line G3,1-375646314,Variant 2,2,Fluxicon Disco
595,Completed-Closed,complete,Ewa-Org line G3,2012-02-04 07:46:33+00:00,Completed-Closed,Ewa,Org line G3,1-375646314,Variant 2,2,Fluxicon Disco
596,Accepted-In Progress,complete,Helene-Org line G4,2010-05-25 12:17:44+00:00,Accepted-In Progress,Helene,Org line G4,1-375670011,Variant 1,1,Fluxicon Disco
597,Completed-Closed,complete,Helene-Org line G4,2012-01-16 13:31:56+00:00,Completed-Closed,Helene,Org line G4,1-375670011,Variant 1,1,Fluxicon Disco
598,Accepted-Assigned,complete,Björn-Org line G4,2010-05-28 08:41:08+00:00,Accepted-Assigned,Björn,Org line G4,1-376424233,Variant 18,18,Fluxicon Disco
599,Accepted-In Progress,complete,Gustav-Org line G4,2011-08-26 12:14:03+00:00,Accepted-In Progress,Gustav,Org line G4,1-376424233,Variant 18,18,Fluxicon Disco
600,Completed-Closed,complete,Gustav-Org line G4,2012-01-16 12:42:34+00:00,Completed-Closed,Gustav,Org line G4,1-376424233,Variant 18,18,Fluxicon Disco
601,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-01 10:19:11+00:00,Accepted-In Progress,Carolyn,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
602,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-01 10:34:03+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
603,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-01 15:19:00+00:00,Accepted-In Progress,Kannan,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
604,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-01 15:19:04+00:00,Accepted-Assigned,Carolyn,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
605,Accepted-In Progress,complete,Kannan-Org line A2,2010-06-11 17:35:32+00:00,Accepted-In Progress,Kannan,Org line A2,1-377083756,Variant 113,113,Fluxicon Disco
606,Accepted-Wait,complete,Kannan-Org line A2,2010-06-11 17:38:36+00:00,Accepted-Wait,Kannan,Org line A2,1-377083756,Variant 113,113,Fluxicon Disco
607,Accepted-In Progress,complete,Pontus-Org line A2,2010-06-14 15:29:35+00:00,Accepted-In Progress,Pontus,Org line A2,1-377083756,Variant 113,113,Fluxicon Disco
608,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-15 15:40:03+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
609,Accepted-In Progress,complete,Kannan-Org line A2,2010-06-15 18:06:31+00:00,Accepted-In Progress,Kannan,Org line A2,1-377083756,Variant 113,113,Fluxicon Disco
610,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-15 18:08:29+00:00,Accepted-In Progress,Kannan,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
611,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-15 18:08:34+00:00,Accepted-Assigned,Carolyn,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
612,Accepted-In Progress,complete,Ewa-Org line G3,2012-02-02 21:50:43+00:00,Accepted-In Progress,Ewa,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
613,Completed-Closed,complete,Ewa-Org line G3,2012-02-02 21:51:53+00:00,Completed-Closed,Ewa,Org line G3,1-377083756,Variant 113,113,Fluxicon Disco
614,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-02 07:21:51+00:00,Accepted-In Progress,Carolyn,Org line G3,1-377276064,Variant 2,2,Fluxicon Disco
615,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-02 07:29:29+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-377276064,Variant 2,2,Fluxicon Disco
616,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-02 10:37:06+00:00,Accepted-In Progress,Kannan,Org line G3,1-377276064,Variant 2,2,Fluxicon Disco
617,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-02 10:37:11+00:00,Accepted-Assigned,Carolyn,Org line G3,1-377276064,Variant 2,2,Fluxicon Disco
618,Accepted-In Progress,complete,Ewa-Org line G3,2012-01-31 08:59:47+00:00,Accepted-In Progress,Ewa,Org line G3,1-377276064,Variant 2,2,Fluxicon Disco
619,Completed-Closed,complete,Ewa-Org line G3,2012-01-31 09:01:20+00:00,Completed-Closed,Ewa,Org line G3,1-377276064,Variant 2,2,Fluxicon Disco
620,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-02 13:14:09+00:00,Accepted-In Progress,Carolyn,Org line G3,1-377458451,Variant 2,2,Fluxicon Disco
621,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-02 13:16:27+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-377458451,Variant 2,2,Fluxicon Disco
622,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-02 13:35:15+00:00,Accepted-In Progress,Kannan,Org line G3,1-377458451,Variant 2,2,Fluxicon Disco
623,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-02 13:35:21+00:00,Accepted-Assigned,Carolyn,Org line G3,1-377458451,Variant 2,2,Fluxicon Disco
624,Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 08:18:21+00:00,Accepted-In Progress,Ewa,Org line G3,1-377458451,Variant 2,2,Fluxicon Disco
625,Completed-Closed,complete,Ewa-Org line G3,2012-02-04 08:20:11+00:00,Completed-Closed,Ewa,Org line G3,1-377458451,Variant 2,2,Fluxicon Disco
626,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-04 15:57:53+00:00,Accepted-In Progress,Carolyn,Org line G3,1-378054711,Variant 2,2,Fluxicon Disco
627,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-04 15:59:45+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-378054711,Variant 2,2,Fluxicon Disco
628,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-04 16:08:12+00:00,Accepted-In Progress,Kannan,Org line G3,1-378054711,Variant 2,2,Fluxicon Disco
629,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-04 16:08:18+00:00,Accepted-Assigned,Carolyn,Org line G3,1-378054711,Variant 2,2,Fluxicon Disco
630,Accepted-In Progress,complete,Ewa-Org line G3,2012-01-30 11:50:40+00:00,Accepted-In Progress,Ewa,Org line G3,1-378054711,Variant 2,2,Fluxicon Disco
631,Completed-Closed,complete,Ewa-Org line G3,2012-01-30 11:51:51+00:00,Completed-Closed,Ewa,Org line G3,1-378054711,Variant 2,2,Fluxicon Disco
632,Queued-Awaiting Assignment,complete,Maria-Org line C,2010-06-04 15:58:40+00:00,Queued-Awaiting Assignment,Maria,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
633,Accepted-In Progress,complete,Peter-Org line C,2010-06-22 09:37:32+00:00,Accepted-In Progress,Peter,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
634,Accepted-Assigned,complete,Christophe-Org line C,2010-06-22 11:51:32+00:00,Accepted-Assigned,Christophe,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
635,Accepted-Assigned,complete,Bo-Org line C,2010-06-24 10:17:47+00:00,Accepted-Assigned,Bo,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
636,Accepted-In Progress,complete,Peter-Org line C,2010-07-09 09:03:29+00:00,Accepted-In Progress,Peter,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
637,Accepted-In Progress,complete,Peter-Org line C,2010-07-09 09:05:10+00:00,Accepted-In Progress,Peter,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
638,Queued-Awaiting Assignment,complete,Maria-Org line C,2010-11-07 13:44:39+00:00,Queued-Awaiting Assignment,Maria,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
639,Accepted-In Progress,complete,Peter-Org line C,2010-11-08 12:35:26+00:00,Accepted-In Progress,Peter,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
640,Queued-Awaiting Assignment,complete,Mattias-Org line C,2010-11-08 12:36:40+00:00,Queued-Awaiting Assignment,Mattias,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
641,Accepted-In Progress,complete,Per-Org line C,2010-11-24 10:06:02+00:00,Accepted-In Progress,Per,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
642,Completed-Closed,complete,Per-Org line C,2010-11-24 12:46:08+00:00,Completed-Closed,Per,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
643,Accepted-In Progress,complete,Per-Org line C,2010-11-24 15:23:23+00:00,Accepted-In Progress,Per,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
644,Completed-Closed,complete,Per-Org line C,2010-11-24 15:34:47+00:00,Completed-Closed,Per,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
645,Accepted-In Progress,complete,Per-Org line C,2010-11-24 15:36:35+00:00,Accepted-In Progress,Per,Org line C,1-378050311,Variant 114,114,Fluxicon Disco
646,Queued-Awaiting Assignment,complete,Craig-Org line F,2011-11-30 12:59:57+00:00,Queued-Awaiting Assignment,Craig,Org line F,1-378050311,Variant 114,114,Fluxicon Disco
647,Accepted-In Progress,complete,Stefan-Org line F,2012-02-27 07:12:23+00:00,Accepted-In Progress,Stefan,Org line F,1-378050311,Variant 114,114,Fluxicon Disco
648,Completed-Closed,complete,Stefan-Org line F,2012-02-27 07:13:44+00:00,Completed-Closed,Stefan,Org line F,1-378050311,Variant 114,114,Fluxicon Disco
649,Accepted-In Progress,complete,Victor-Org line C,2010-06-08 13:20:08+00:00,Accepted-In Progress,Victor,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
650,Queued-Awaiting Assignment,complete,Victor-Org line C,2010-06-08 13:24:21+00:00,Queued-Awaiting Assignment,Victor,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
651,Accepted-Assigned,complete,Leif-Org line C,2010-06-09 13:43:31+00:00,Accepted-Assigned,Leif,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
652,Queued-Awaiting Assignment,complete,Ulf-Org line C,2010-06-15 10:40:07+00:00,Queued-Awaiting Assignment,Ulf,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
653,Accepted-In Progress,complete,Amir-Org line C,2011-11-01 16:27:08+00:00,Accepted-In Progress,Amir,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
654,Accepted-Assigned,complete,Anna-Org line C,2011-11-01 16:29:39+00:00,Accepted-Assigned,Anna,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
655,Accepted-In Progress,complete,Anna-Org line C,2012-02-01 12:59:45+00:00,Accepted-In Progress,Anna,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
656,Completed-Closed,complete,Anna-Org line C,2012-02-01 12:59:47+00:00,Completed-Closed,Anna,Org line C,1-378744625,Variant 115,115,Fluxicon Disco
657,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-09 09:45:16+00:00,Accepted-In Progress,Carolyn,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
658,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-09 09:58:40+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
659,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-09 18:01:33+00:00,Accepted-In Progress,Kannan,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
660,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-09 18:01:38+00:00,Accepted-Assigned,Carolyn,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
661,Queued-Awaiting Assignment,complete,Hannes-Org line A2,2011-04-08 11:57:15+00:00,Queued-Awaiting Assignment,Hannes,Org line A2,1-378976624,Variant 116,116,Fluxicon Disco
662,Accepted-Assigned,complete,Y-Org line A2,2011-04-08 11:57:49+00:00,Accepted-Assigned,Y,Org line A2,1-378976624,Variant 116,116,Fluxicon Disco
663,Accepted-Assigned,complete,Valerie-Org line A2,2011-04-08 13:30:45+00:00,Accepted-Assigned,Valerie,Org line A2,1-378976624,Variant 116,116,Fluxicon Disco
664,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-11-15 08:38:00+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
665,Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 08:13:38+00:00,Accepted-In Progress,Ewa,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
666,Completed-Closed,complete,Ewa-Org line G3,2012-02-04 08:18:05+00:00,Completed-Closed,Ewa,Org line G3,1-378976624,Variant 116,116,Fluxicon Disco
667,Accepted-In Progress,complete,Carrie-Org line A2,2010-06-10 08:51:43+00:00,Accepted-In Progress,Carrie,Org line A2,1-379209685,Variant 4,4,Fluxicon Disco
668,Accepted-In Progress,complete,Carrie-Org line A2,2012-03-13 07:30:17+00:00,Accepted-In Progress,Carrie,Org line A2,1-379209685,Variant 4,4,Fluxicon Disco
669,Completed-Closed,complete,Carrie-Org line A2,2012-03-13 07:33:30+00:00,Completed-Closed,Carrie,Org line A2,1-379209685,Variant 4,4,Fluxicon Disco
670,Accepted-In Progress,complete,Ulrika-Org line A2,2010-06-13 14:31:25+00:00,Accepted-In Progress,Ulrika,Org line A2,1-379702919,Variant 28,28,Fluxicon Disco
671,Queued-Awaiting Assignment,complete,Ulrika-Org line A2,2010-06-13 14:34:31+00:00,Queued-Awaiting Assignment,Ulrika,Org line A2,1-379702919,Variant 28,28,Fluxicon Disco
672,Accepted-In Progress,complete,Ulrika-Org line A2,2010-10-25 09:08:52+00:00,Accepted-In Progress,Ulrika,Org line A2,1-379702919,Variant 28,28,Fluxicon Disco
673,Accepted-Assigned,complete,Daniel-Org line A2,2012-03-28 11:13:42+00:00,Accepted-Assigned,Daniel,Org line A2,1-379702919,Variant 28,28,Fluxicon Disco
674,Completed-Closed,complete,Daniel-Org line A2,2012-04-04 07:33:43+00:00,Completed-Closed,Daniel,Org line A2,1-379702919,Variant 28,28,Fluxicon Disco
675,Accepted-In Progress,complete,Barbara-Org line A2,2010-06-14 06:38:32+00:00,Accepted-In Progress,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
676,Accepted-Wait,complete,Barbara-Org line A2,2010-06-14 06:38:53+00:00,Accepted-Wait,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
677,Accepted-In Progress,complete,Barbara-Org line A2,2010-06-14 13:34:32+00:00,Accepted-In Progress,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
678,Accepted-Wait,complete,Barbara-Org line A2,2010-06-14 13:57:51+00:00,Accepted-Wait,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
679,Accepted-In Progress,complete,Barbara-Org line A2,2010-06-15 06:41:34+00:00,Accepted-In Progress,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
680,Accepted-Wait,complete,Barbara-Org line A2,2010-06-15 07:43:03+00:00,Accepted-Wait,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
681,Accepted-In Progress,complete,Barbara-Org line A2,2012-03-28 12:42:34+00:00,Accepted-In Progress,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
682,Completed-Closed,complete,Barbara-Org line A2,2012-03-28 12:45:28+00:00,Completed-Closed,Barbara,Org line A2,1-379789104,Variant 49,49,Fluxicon Disco
683,Accepted-In Progress,complete,Tomas-Org line A2,2010-06-15 10:58:18+00:00,Accepted-In Progress,Tomas,Org line A2,1-380297615,Variant 17,17,Fluxicon Disco
684,Accepted-Assigned,complete,Tomas-Org line A2,2010-07-20 07:31:54+00:00,Accepted-Assigned,Tomas,Org line A2,1-380297615,Variant 17,17,Fluxicon Disco
685,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 05:38:14+00:00,Accepted-In Progress,Tomas,Org line A2,1-380297615,Variant 17,17,Fluxicon Disco
686,Accepted-Wait,complete,Tomas-Org line A2,2012-05-04 14:43:47+00:00,Accepted-Wait,Tomas,Org line A2,1-380297615,Variant 17,17,Fluxicon Disco
687,Completed-Closed,complete,Tomas-Org line A2,2012-05-04 14:49:36+00:00,Completed-Closed,Tomas,Org line A2,1-380297615,Variant 17,17,Fluxicon Disco
688,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-15 14:37:49+00:00,Accepted-In Progress,Carolyn,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
689,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-15 14:46:08+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
690,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-15 14:50:16+00:00,Accepted-In Progress,Kannan,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
691,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-15 14:50:22+00:00,Accepted-Assigned,Carolyn,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
692,Accepted-In Progress,complete,Kannan-Org line A2,2010-08-27 17:14:48+00:00,Accepted-In Progress,Kannan,Org line A2,1-380392616,Variant 54,54,Fluxicon Disco
693,Accepted-Assigned,complete,Y-Org line A2,2010-08-27 17:14:57+00:00,Accepted-Assigned,Y,Org line A2,1-380392616,Variant 54,54,Fluxicon Disco
694,Accepted-Wait,complete,Y-Org line A2,2010-09-02 08:36:22+00:00,Accepted-Wait,Y,Org line A2,1-380392616,Variant 54,54,Fluxicon Disco
695,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2011-02-09 11:05:52+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
696,Accepted-In Progress,complete,Padmanabha-Org line G3,2011-02-16 10:53:01+00:00,Accepted-In Progress,Padmanabha,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
697,Accepted-Assigned,complete,Carolyn-Org line G3,2011-02-16 10:53:25+00:00,Accepted-Assigned,Carolyn,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
698,Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 08:20:39+00:00,Accepted-In Progress,Ewa,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
699,Completed-Closed,complete,Ewa-Org line G3,2012-02-04 09:19:57+00:00,Completed-Closed,Ewa,Org line G3,1-380392616,Variant 54,54,Fluxicon Disco
700,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-16 07:45:30+00:00,Accepted-In Progress,Carolyn,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
701,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-16 07:49:44+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
702,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-16 13:23:30+00:00,Accepted-In Progress,Kannan,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
703,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-16 13:23:35+00:00,Accepted-Assigned,Carolyn,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
704,Accepted-In Progress,complete,Kannan-Org line A2,2010-06-17 18:19:15+00:00,Accepted-In Progress,Kannan,Org line A2,1-380527184,Variant 117,117,Fluxicon Disco
705,Accepted-Assigned,complete,Y-Org line A2,2010-06-17 18:19:20+00:00,Accepted-Assigned,Y,Org line A2,1-380527184,Variant 117,117,Fluxicon Disco
706,Accepted-In Progress,complete,Y-Org line A2,2010-06-18 12:01:56+00:00,Accepted-In Progress,Y,Org line A2,1-380527184,Variant 117,117,Fluxicon Disco
707,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-21 09:35:08+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
708,Accepted-In Progress,complete,Naga-Org line G3,2010-06-21 15:55:02+00:00,Accepted-In Progress,Naga,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
709,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-21 16:00:14+00:00,Accepted-Assigned,Carolyn,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
710,Accepted-In Progress,complete,Ewa-Org line G3,2012-02-04 09:20:08+00:00,Accepted-In Progress,Ewa,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
711,Completed-Closed,complete,Ewa-Org line G3,2012-02-04 09:31:43+00:00,Completed-Closed,Ewa,Org line G3,1-380527184,Variant 117,117,Fluxicon Disco
712,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-16 13:15:09+00:00,Accepted-In Progress,Carolyn,Org line G3,1-380654568,Variant 2,2,Fluxicon Disco
713,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-16 13:18:36+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-380654568,Variant 2,2,Fluxicon Disco
714,Accepted-In Progress,complete,Kannan-Org line G3,2010-06-16 13:29:26+00:00,Accepted-In Progress,Kannan,Org line G3,1-380654568,Variant 2,2,Fluxicon Disco
715,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-16 13:29:31+00:00,Accepted-Assigned,Carolyn,Org line G3,1-380654568,Variant 2,2,Fluxicon Disco
716,Accepted-In Progress,complete,Ewa-Org line G3,2011-12-30 10:09:26+00:00,Accepted-In Progress,Ewa,Org line G3,1-380654568,Variant 2,2,Fluxicon Disco
717,Completed-Closed,complete,Ewa-Org line G3,2012-01-30 11:31:24+00:00,Completed-Closed,Ewa,Org line G3,1-380654568,Variant 2,2,Fluxicon Disco
718,Accepted-In Progress,complete,David-Org line G4,2010-06-16 14:09:45+00:00,Accepted-In Progress,David,Org line G4,1-380632889,Variant 67,67,Fluxicon Disco
719,Queued-Awaiting Assignment,complete,David-Org line G4,2010-08-16 10:24:39+00:00,Queued-Awaiting Assignment,David,Org line G4,1-380632889,Variant 67,67,Fluxicon Disco
720,Accepted-In Progress,complete,Fredrik-Org line G4,2010-08-17 15:19:11+00:00,Accepted-In Progress,Fredrik,Org line G4,1-380632889,Variant 67,67,Fluxicon Disco
721,Accepted-Wait,complete,Fredrik-Org line G4,2010-12-13 09:31:55+00:00,Accepted-Wait,Fredrik,Org line G4,1-380632889,Variant 67,67,Fluxicon Disco
722,Accepted-Assigned,complete,Ingemar-Org line A2,2011-06-27 10:22:34+00:00,Accepted-Assigned,Ingemar,Org line A2,1-380632889,Variant 67,67,Fluxicon Disco
723,Accepted-Wait,complete,Fredrik-Org line A2,2011-06-27 10:31:34+00:00,Accepted-Wait,Fredrik,Org line A2,1-380632889,Variant 67,67,Fluxicon Disco
724,Accepted-In Progress,complete,Fredrik-Org line A2,2012-01-12 12:16:07+00:00,Accepted-In Progress,Fredrik,Org line A2,1-380632889,Variant 67,67,Fluxicon Disco
725,Completed-Closed,complete,Fredrik-Org line A2,2012-01-12 12:17:41+00:00,Completed-Closed,Fredrik,Org line A2,1-380632889,Variant 67,67,Fluxicon Disco
726,Accepted-In Progress,complete,Sriram-Org line A2,2010-06-17 11:47:35+00:00,Accepted-In Progress,Sriram,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
727,Accepted-Wait,complete,Sriram-Org line A2,2010-11-19 06:46:00+00:00,Accepted-Wait,Sriram,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
728,Accepted-In Progress,complete,Sriram-Org line A2,2010-11-26 07:09:31+00:00,Accepted-In Progress,Sriram,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
729,Completed-Closed,complete,Sriram-Org line A2,2010-11-26 07:09:39+00:00,Completed-Closed,Sriram,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
730,Accepted-In Progress,complete,Sriram-Org line A2,2010-12-16 15:27:03+00:00,Accepted-In Progress,Sriram,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
731,Accepted-In Progress,complete,Harikumar-Org line A2,2011-05-16 13:34:01+00:00,Accepted-In Progress,Harikumar,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
732,Completed-Closed,complete,Harikumar-Org line A2,2012-03-30 15:11:00+00:00,Completed-Closed,Harikumar,Org line A2,1-380885044,Variant 118,118,Fluxicon Disco
733,Accepted-In Progress,complete,Mikael-Org line G4,2010-06-18 06:42:27+00:00,Accepted-In Progress,Mikael,Org line G4,1-381124870,Variant 17,17,Fluxicon Disco
734,Accepted-Assigned,complete,Mikael-Org line G4,2010-06-18 06:45:02+00:00,Accepted-Assigned,Mikael,Org line G4,1-381124870,Variant 17,17,Fluxicon Disco
735,Accepted-In Progress,complete,Mikael-Org line G4,2010-06-28 09:02:56+00:00,Accepted-In Progress,Mikael,Org line G4,1-381124870,Variant 17,17,Fluxicon Disco
736,Accepted-Wait,complete,Mikael-Org line G4,2010-09-01 10:09:24+00:00,Accepted-Wait,Mikael,Org line G4,1-381124870,Variant 17,17,Fluxicon Disco
737,Completed-Closed,complete,Mikael-Org line G4,2012-01-24 18:02:38+00:00,Completed-Closed,Mikael,Org line G4,1-381124870,Variant 17,17,Fluxicon Disco
738,Accepted-In Progress,complete,Tomas-Org line A2,2010-06-23 12:13:51+00:00,Accepted-In Progress,Tomas,Org line A2,1-382209384,Variant 20,20,Fluxicon Disco
739,Accepted-In Progress,complete,Tomas-Org line A2,2011-09-03 05:46:51+00:00,Accepted-In Progress,Tomas,Org line A2,1-382209384,Variant 20,20,Fluxicon Disco
740,Accepted-Assigned,complete,Niklas-Org line A2,2011-11-14 15:10:10+00:00,Accepted-Assigned,Niklas,Org line A2,1-382209384,Variant 20,20,Fluxicon Disco
741,Accepted-In Progress,complete,Martin-Org line F,2012-03-08 09:29:26+00:00,Accepted-In Progress,Martin,Org line F,1-382209384,Variant 20,20,Fluxicon Disco
742,Completed-Closed,complete,Martin-Org line F,2012-03-08 09:30:46+00:00,Completed-Closed,Martin,Org line F,1-382209384,Variant 20,20,Fluxicon Disco
743,Accepted-In Progress,complete,Carolyn-Org line G3,2010-06-24 10:41:19+00:00,Accepted-In Progress,Carolyn,Org line G3,1-382442048,Variant 68,68,Fluxicon Disco
744,Queued-Awaiting Assignment,complete,Carolyn-Org line G3,2010-06-24 10:45:02+00:00,Queued-Awaiting Assignment,Carolyn,Org line G3,1-382442048,Variant 68,68,Fluxicon Disco
745,Accepted-In Progress,complete,Naga-Org line G3,2010-06-24 12:18:38+00:00,Accepted-In Progress,Naga,Org line G3,1-382442048,Variant 68,68,Fluxicon Disco
746,Accepted-Wait,complete,Naga-Org line G3,2010-06-24 12:19:43+00:00,Accepted-Wait,Naga,Org line G3,1-382442048,Variant 68,68,Fluxicon Disco
747,Accepted-Assigned,complete,Carolyn-Org line G3,2010-06-24 12:21:20+00:00,Accepted-Assigned,Carolyn,Org line G3,1-382442048,Variant 68,68,Fluxicon Disco
